大清三藏圣教,雍正皇帝等制
佛一百八名赞经,宋中印度三藏沙门法天
圣救度母二十一种礼赞经,翰林学士安藏
佛说一切如来顶轮王一百八名赞经,宋北印度三藏沙门施护
赞法界颂,宋北印度三藏沙门施护
八大灵塔梵赞,宋西天译经三藏法贤
三身梵赞,宋西天译经三藏法贤
佛说文殊师利一百八名梵赞,宋中印度三藏沙门法天
曼殊室利菩萨吉祥伽陀,宋西天译经三藏法贤
圣金刚手菩萨一百八名梵赞,宋西天译经三藏法贤
圣观自在菩萨功德赞,宋北印度三藏沙门施护
赞观世音菩萨颂,唐沙门慧智
佛说圣观自在菩萨梵赞,宋中印度三藏沙门法天
圣多罗菩萨梵赞,宋北印度三藏沙门施护
事师法五十颂,宋西天三藏日称
犍稚梵颂,宋中印度三藏沙门法天
佛说菩萨内戒经,刘宋三藏求那跋摩
菩萨优婆塞五戒威仪经,刘宋三藏求那跋摩
佛说文殊师利净律经,西晋三藏法师竺法护
菩萨善戒经,刘宋三藏求那跋摩
菩萨地持经,北凉天竺三藏昙无谶
佛说梵网经,姚秦三藏法师鸠摩罗什
优婆塞戒经,北凉天竺三藏昙无谶
寂调音所问经,刘宋沙门释法海
大乘三聚忏悔经,隋天竺沙门阇那崛多及笈多
佛说文殊悔过经,西晋三藏法师竺法护
菩萨璎珞本业经,姚秦三藏法师竺佛念
佛说受十善戒经,后汉失译人名开元录拾遗
佛说净业障经,失译师名开元附秦录
佛藏经,姚秦三藏法师鸠摩罗什
菩萨戒本经,北凉天竺三藏昙无谶
菩萨戒羯磨文,唐三藏法师玄奘
菩萨戒本,唐三藏法师玄奘
佛说法律三昧经,吴月支优婆塞支谦
佛说十善业道经,唐于阗国三藏实叉难陀
清净毗尼方广经,姚秦三藏法师鸠摩罗什
菩萨五法忏悔经,失译师名开元附梁录
菩萨藏经,梁扶南三藏僧伽婆罗
三曼陀颰陀罗菩萨经,西晋清信士聂道真
菩萨受斋经,西晋清信士聂道真
舍利弗悔过经,后汉安息三藏安世高
佛阿毗昙经,陈天竺三藏真谛
解脱戒本经,元魏三藏瞿昙般若流支
优波离问经,刘宋天竺三藏求那跋陀罗
根本说一切有部戒经,唐三藏法师义净
佛说迦叶禁戒经,刘宋居士沮渠京声
佛说犯戒罪轻重经,后汉安息三藏安世高
佛说戒消灾经,吴月支优婆塞支谦
佛说优婆塞五戒相经,刘宋天竺三藏求那跋陀罗
十诵律,姚秦弗若多罗共鸠摩罗什
尼羯磨,唐沙门怀素
四分律藏,姚秦三藏佛陀耶舍共竺佛念
根本说一切有部毗奈耶,唐三藏法师义净
摩诃僧祇律,东晋三藏佛陀跋陀罗共法显
昙无德部四分律删补随机羯磨,唐沙门道宣
根本说一切有部毗奈耶杂事,唐三藏法师义净
弥沙塞部五分律,宋罽宾三藏佛陀舍共竺道生
根本说一切有部毗奈耶破僧事,唐三藏法师义净
根本说一切有部苾刍尼毗奈耶,唐三藏法师义净
善见毗婆沙律,萧齐外国沙门僧伽跋陀罗
大比丘三千威仪,后汉安息三藏安世高
根本萨婆多部律摄,唐三藏法师义净
四分僧羯磨,唐沙门怀素
四分比丘尼羯磨法,刘宋天竺三藏求那跋陀罗
戒因缘经,姚秦三藏法师竺佛念
根本说一切有部百一羯磨,唐三藏法师义净
萨婆多部毗尼摩得勒伽,宋三藏法师僧伽跋摩
根本说一切有部尼陀那,唐三藏法师义净
根本说一切有部目得迦,唐三藏法师义净
萨婆多毗尼毗婆沙,失译师名今附三秦录
续萨婆多毗尼毗婆沙,失译师名今附三秦录
出家授近圆羯磨仪轨附苾刍习学略法,元帝师苾芻拔合思巴
毗尼母论,失译师名附秦录
律二十二明了论,陈天竺三藏真谛
根本说一切有部毗奈耶尼陀那目得迦摄颂,唐三藏法师义净
根本说一切有部毗奈耶杂事摄颂,唐三藏法师义净
普贤菩萨行愿赞,唐三藏沙门大广智不空
根本说一切有部毗奈耶颂,唐三藏法师义净
十诵律毗尼序,东晋三藏卑摩罗叉
沙弥十戒法并威仪,失译人名今附东晋录
羯磨,曹魏沙门昙谛
佛说大爱道比丘尼经,北凉失译师名
佛说目连问戒律中五百轻重事经,失译人名今附东晋录
根本说一切有部苾刍尼戒经,唐三藏法师义净
比丘尼僧祇律波罗提木叉戒经,东晋沙门法显共觉贤
沙弥尼戒经,失译人名
舍利弗问经,东晋失译人名
弥沙塞羯磨本,唐沙门爱同录五分羯磨
四分戒本,唐怀素姚秦佛陀耶舍
四分比丘尼戒本,唐沙门怀素
五分戒本,宋罽宾三藏佛陀什
五分比丘尼戒本,梁沙门释明征
波罗提木叉僧祇戒本,东晋天竺三藏佛陀跋罗
十诵律比丘戒本,姚秦三藏法师鸠摩罗什
十诵律比丘尼戒本,宋沙门法颖
大沙门百一羯磨法,失译人名今附宋录
昙无德律部杂羯磨,前魏天竺三藏康僧鎧
沙弥威仪,宋天竺三藏求那跋摩
沙弥尼离戒文,失译人名
十诵羯磨比丘要用,刘宋释僧璩依律撰出
金刚般若波罗蜜经论（无著造）,无著菩萨造
金刚般若波罗蜜经论（天亲造）,天亲菩萨造
大智度论,龙树菩萨造
瑜伽师地论,弥勒菩萨说
摄大乘论释(四译),无性菩萨造
无相思尘论,陈那菩萨造
观所缘缘论,陈那菩萨造
观所缘缘论释,护法菩萨造
大乘广五蕴论,安慧菩萨造
大乘五蕴论,世亲菩萨造
显扬圣教论,无著菩萨造
大乘阿毗达磨杂集论,安慧菩萨造
中论,龙树菩萨造
十住毗婆沙论,龙树菩萨造
菩提资粮论,龙树菩萨造
大庄严经论,马鸣菩萨造
摄大乘论(二译),无著菩萨造
般若灯论,龙树菩萨偈本
十二门论,龙树菩萨造
十八空论,陈天竺三藏真谛译
百论,提婆菩萨造
广百论本,圣天菩萨造
大乘庄严经论,无著菩萨造
文殊师利菩萨问菩提经论,论师婆薮槃豆此云天亲造
金刚般若波罗蜜经破取着不坏假名论,功德施菩萨造
胜思惟梵天所问经论,元魏天竺三藏菩提留支译
十地经论,天亲菩萨造
佛地经论,亲光等菩萨造
三具足经优波提舍,天亲菩萨造
成唯识论,护法等菩萨造
广百论释论,圣天菩萨本护法菩萨释
大乘阿毗达磨集论,无著菩萨造
王法正理论,弥勒菩萨造
瑜伽师地论释,最胜子等诸菩萨造
显扬圣教论颂,无著菩萨造
弥勒菩萨所问经论,元魏天竺三藏菩提留支译
无量寿经优波提舍,婆薮槃豆菩萨造
转法轮经优波提舍,天亲菩萨造
大般涅槃经论,婆薮槃豆菩萨造
涅槃经本有今无偈论,天亲菩萨造
能断金刚般若波罗蜜多经论颂,无著菩萨造
遗教经论,天亲菩萨造
成唯识宝生论(一名二十唯识释顺释论),护法菩萨造
十二因缘论,净意菩萨造
壹输卢迦论,龙树菩萨造
大乘百法明门论,天亲菩萨造
转识论,陈天竺三藏真谛译
唯识三十论,世亲菩萨造
因明入正理论,商羯罗主菩萨造
显识论,陈天竺三藏真谛译
发菩提心论,天亲菩萨造
三无性论,陈天竺三藏真谛译
佛性论,天亲菩萨造
大乘成业论,世亲菩萨造
业成就论,天亲菩萨造
因明正理门论,龙树菩萨造
因明正理门论本,龙树菩萨造
止观门论颂,世亲菩萨造
手杖论,尊者释迦称造
缘生论,圣者鬰楞迦造
取因假设论,陈那菩萨造
观总相论颂,陈那菩萨造
六门教授习定论,无著菩萨本世亲菩萨释
能断金刚般若波罗蜜多论释,无著菩萨本世亲菩萨释
略明般若末后一颂赞述,无
妙法莲华经优波提舍,婆薮槃豆菩萨释
妙法莲华经论优波提舍,婆薮槃豆菩萨造
大宝积经论,元魏天竺三藏菩提留支译
决定藏论,梁三藏法师真谛译
究竟一乘宝性论,元魏天竺三藏勒那摩提
大乘掌珍论,清辩菩萨造
大乘楞伽经唯识论,天亲菩萨造
大乘唯识论,天亲菩萨造
唯识二十论,世亲菩萨造
宝髻经四法优波提舍,天亲菩萨造
大丈夫论,提婆罗菩萨造
入大乘论,坚意菩萨造
辩中边论,世亲菩萨造
辩中边论颂,弥勒菩萨说
顺中论,龙胜菩萨造
摄大乘论本,无著菩萨造
中边分别论,天亲菩萨造
大乘起信论(二译),马鸣菩萨造
回诤论,后魏三藏毗目智仙译
如实论,天亲菩萨造
宝行王正论,梁三藏法师真谛译
百字论,提婆菩萨造
解拳论,陈那菩萨造
掌中论,陈那菩萨造
方便心论,龙树菩萨造
大乘法界无差别论,坚慧菩萨造
提婆菩萨破楞伽经中外道小乘四宗论,元魏天竺三藏菩提留支译
提婆菩萨释楞伽经中外道小乘涅槃论,元魏天竺三藏菩提留支译
四谛论,婆薮跋摩造
辟支佛因缘论,失译人名今附秦录
阿毗达磨大毗婆沙论,五百大阿罗汉等造
阿毗昙毗婆沙论,迦旃延子造
阿毗达磨顺正理论,尊者众贤造
阿毗达磨藏显宗论,尊者众贤造
阿毗达磨俱舍论,尊者世亲造
舍利弗阿毗昙论,姚秦昙摩崛多共昙摩耶舍译
阿毗达磨俱舍释论,婆薮盘豆造
阿毗达磨俱舍释论本颂,尊者世亲造
三法度论,尊者山贤造
三弥底部论,失译人名今附三秦录
阿毗昙八犍度论,迦旃延子造
成实论,诃梨跋摩造
阿毗达磨发智论,尊者迦多衍尼子造
阿毗达磨集异门足论,尊者舍利子说
阿毗达磨品类足论,尊者世友造
阿毗昙甘露味论,尊者瞿沙造
鞞婆沙论,迦旃延子造
随相论,德慧法师造
阿毗达磨识身足论,提婆设摩阿罗汉造
阿毗达磨界身足论,尊者世友造
五事毗婆沙论,尊者法救造
十八部论,失译人名
部执异论,天友菩萨造
异部宗轮论,世友菩萨造
杂阿毗昙心论,尊者法救造
阿毗昙心论,尊者法胜造
尊婆须蜜菩萨所集论,符秦罽宾三藏僧伽跋澄等译
分别功德论,失译人名今附后汉录
入阿毗达磨论,塞建地罗阿罗汉造
众事分阿毗昙论,尊者世友造
解脱道论,罗汉优婆底沙造
法胜阿毗昙心论,大德优婆扇多造
胜宗十句义论,胜者慧月造
阿毗达磨法蕴足论,尊者大目乾连造
立世阿毗昙论,陈天竺三藏真谛译
大乘集菩萨学论,法称菩萨造
大宗地玄文本论,马鸣菩萨造
金七十论,外道迦毗罗仙人造
广释菩提心论,莲花戒菩萨造
集诸法宝最上义论,善寂菩萨造
金刚针论,法称菩萨造
菩提心离相论,龙树菩萨造
大乘破有论,龙树菩萨造
集大乘相论,觉吉祥智菩萨造
六十颂如理论,龙树菩萨造
大乘二十颂论,龙树菩萨造
佛母般若波罗蜜多圆集要义论,大域龙菩萨造
佛母般若波罗蜜多圆集要义释论,三宝尊菩萨大域龙菩萨造
大乘宝要义论,宋西天三藏法师法护等译
菩萨本生鬘论,圣勇菩萨等造
圣佛母般若波罗蜜多九颂精义论,胜德赤衣菩萨造
大乘缘生论,圣者鬰楞迦造
诸教决定名义论,圣慈氏菩萨造
大乘中观释论,安慧菩萨造
施设论,宋西天三藏法师法护等译
大乘法界无差别论,坚慧菩萨造
金刚顶瑜伽中发阿耨多罗三藐三菩提心论,唐三藏沙门大广智不空译
彰所知论,元帝师　拔合思巴
出曜经,姚秦三藏竺佛念
贤愚因缘经,元魏沙门慧觉
佛本行经,宋凉州沙门释宝云
撰集百缘经,吴月支优婆塞支谦
修行道地经,西晋三藏法师竺法护
道地经,天竺三藏僧伽罗刹造
佛说佛医经,吴沙门竺律炎共支越
惟日杂难经,吴月支优婆塞支谦
杂宝藏经,元魏沙门吉迦夜共昙曜
迦叶赴佛般涅槃经,东晋西域沙门竺昙无兰
瑜伽翳迦讫沙啰乌瑟尼沙斫讫啰真言安怛陀那仪则一字顶轮王瑜伽经,唐三藏沙门大广智不空
佛入涅槃密迹金刚力士哀恋经,失译人名
佛使比丘迦旃延说法没尽偈誙,失译人名
佛治身经,失译人名今附西晋录
治意经,失译人名今附西晋录
文殊师利发愿经,东晋天竺三藏佛陀跋陀罗
六菩萨名亦当诵持经,后汉失译人名见费长房录
小道地经,后汉三藏法师支曜
阿含口解十二因缘经,后汉安玄共严佛调
付法藏因缘经,后魏沙门吉迦夜共昙曜
达磨多罗禅经,东晋天竺三藏佛陀跋陀罗
禅法要解经,姚秦三藏法师鸠摩罗什
阿育王经,梁扶南三藏僧伽婆罗
阿育王譬喻经,失译人名今附东晋录
三慧经,今附北凉录
阿毗昙五法行经,后汉安息三藏安世高
宾头卢突罗阇为优陀延王说法缘经,刘宋天竺三藏求那跋陀罗
请宾头卢经,宋三藏慧简
大勇菩萨分别业报略经,宋天竺三藏僧伽跋摩
坐禅三昧法门经,僧伽罗刹造姚摩罗什译
佛所行赞经,马鸣菩萨造
僧伽罗刹所集佛行经,符秦沙门僧伽跋澄
法句譬喻经,西晋沙门法炬共法立
菩提行经,圣龙树菩萨集颂
金刚顶一切如来真实摄大乘现证大教王经,唐三藏沙门大广智不空
文殊菩萨及诸仙所说吉凶时日善恶宿曜经,唐三藏沙门大广智不空
僧伽斯那所撰菩萨本缘经,吴月支优婆塞支谦
那先比丘经,失译人名今附东晋录
旧杂譬喻经,吴天竺三藏康僧会
禅要诃欲经,失译师名
内身观章句经,汉失译师名
法观经,西晋三藏法师竺法护
迦叶结经,后汉安息三藏安世高
百喻经,萧齐天竺三藏求那毗地
法句经,吴天竺沙门维祇难
众经撰杂譬喻经,姚秦三藏法师鸠摩罗什
阿育王子法益法目因缘经,符秦三藏昙摩难提
杂譬喻经,失译人名出后汉录
无明罗刹经,失译人名今附秦录
文殊所说最胜名义经,宋西天三藏金总持等
迦丁比丘说当来变经,失译师名附宋录
杂譬喻经,后汉月支三藏支娄迦识
思惟要略法,姚秦三藏法师鸠摩罗什
十二游经,东晋沙门迦留陀伽
贤圣集伽陀一百颂,宋中印度三藏沙门天息灾
广大发愿颂,龙树菩萨造
无能胜大明陀罗尼经,宋中印度三藏沙门法天
无能胜大明心陀罗尼经,宋中印度三藏沙门法天
十不善业道经,马鸣菩萨集
大乘修行菩萨行门诸经要集,唐沙门智严
四阿含暮抄解,符秦沙门鸠摩罗佛提等
五门禅经要用法,大禅师佛陀蜜多撰
金刚顶瑜伽千手千眼观自在菩萨修行仪轨经,唐三藏沙门大广智不空
密迹力士大权神王经偈颂,元僧录管主入撰
一切秘密最上名义大教王仪轨,宋北印度三藏沙门施护
大乐金刚萨埵修行成就仪轨,唐三藏沙门大广智不空
曼殊室利菩萨吉祥伽陀,宋西天译经三藏法贤
成就妙法莲华经王瑜伽观智仪轨,唐三藏沙门大广智不空
金刚顶瑜伽降三世成就极深密门,唐三藏沙门大广智不空等
金刚顶瑜伽他化自在理趣会普贤修行念诵仪,唐三藏沙门大广智不空
金刚寿命陀罗尼念诵法,唐三藏沙门大广智不空
大药叉女欢喜母并爱子成就法,唐三藏沙门大广智不空
佛说帝释岩秘密成就仪轨,宋北印度三藏沙门施护
观自在菩萨如意轮念诵仪轨,唐三藏沙门大广智不空
大毗卢遮那成佛神变加持经略示七支念诵随行法,唐三藏沙门大广智不空
速疾立验魔醯首罗天说阿尾奢法,唐三藏沙门大广智不空
大圣曼殊室利童子五字瑜伽法,唐三藏沙门大广智不空
大威怒乌刍涩么仪轨,唐三藏沙门大广智不空
大孔雀明王画像坛场仪轨,唐三藏沙门大广智不空
金刚顶瑜伽金刚萨埵仪轨,唐三藏沙门大广智不空
一字轮王佛顶要略念诵法,唐三藏沙门大广智不空
观自在菩萨如意轮瑜伽念诵法,唐三藏沙门大广智不空
大圣大欢喜双身毗那耶迦法,唐三藏沙门大广智不空
大日经略摄念诵随行法,唐三藏沙门大广智不空
五字陀罗尼颂,唐三藏沙门大广智不空
仁王般若陀罗尼释,唐三藏沙门大广智不空
大乐金刚不空真实三昧耶经般若波罗蜜多理趣释,唐三藏沙门大广智不空
佛说最胜妙吉祥根本智最上秘密一切名义三摩地分,唐三藏沙门大广智不空
金刚王菩萨秘密念诵仪轨,唐三藏沙门大广智不空
金刚顶胜初瑜伽普贤菩萨念诵法经,唐三藏沙门大广智不空
金刚顶瑜伽金刚萨埵五秘密修行念诵仪轨,唐三藏沙门大广智不空
无量寿如来修观行供养仪轨,唐三藏沙门大广智不空
甘露军荼利菩萨供养念诵成就仪轨,唐三藏沙门大广智不空
观自在多罗瑜伽念诵法,唐三藏沙门大广智不空
圣观自在菩萨心真言瑜伽观行轨仪,唐三藏沙门大广智不空
菩萨诃色欲法,姚秦三藏法师鸠摩罗什
四品学法,刘宋天竺三藏求那跋陀罗
大虚空藏菩萨念诵法,唐三藏沙门大广智不空
仁王般若念诵法,唐三藏沙门大广智不空
阿閦如来念诵供养法,唐三藏沙门大广智不空
佛顶尊胜陀罗尼念诵仪轨,唐三藏沙门大广智不空
圣阎曼德迦威怒王立成大神验念诵法,唐三藏沙门大广智不空
大乘方广曼殊室利菩萨华严本教赞阎曼德迦忿怒王真言大威德仪轨品,唐三藏沙门大广智不空
大方广曼殊室利童菩萨华严本教赞阎曼德迦忿怒王真言阿毗遮噜迦仪轨品,唐三藏沙门大广智不空
苏悉地羯罗供养法,唐中天竺三藏善无畏
不动使者陀罗尼秘密法,唐三藏沙门金刚菩提
金刚顶瑜伽修习毗卢遮那三摩地法,唐天竺沙门金刚智
金刚顶瑜伽经文殊师利菩萨仪轨供养法,唐三藏沙门大广智不空
瑜伽莲华部念诵法,唐三藏沙门大广智不空
金刚顶经瑜伽观自在王如来修行法,唐天竺沙门金刚智
金刚顶经观自在王如来修行法,唐三藏沙门大广智不空
金刚手光明灌顶经最胜立印圣无动尊大威怒王念诵仪轨,唐三藏沙门大广智不空等
略述金刚顶瑜伽分别圣位修证法门,唐三藏沙门大广智不空
一字佛顶轮王念诵仪轨,唐三藏沙门大广智不空
仁王护国般若波罗蜜多经道场念诵仪轨,唐三藏沙门大广智不空
金刚顶莲华部心念诵仪轨,唐三藏沙门大广智不空
佛说如意轮莲华心如来修行观门仪,宋中天竺三藏法师慈贤
妙吉祥平等瑜伽秘密观身成佛仪轨,宋中天竺三藏法师慈贤
法集要颂经,尊者法救集
劝发诸王要偈,龙树菩萨撰
龙树菩萨劝诫王颂,唐三藏法师义净
普贤金刚萨埵瑜伽念诵仪,唐三藏沙门大广智不空
金刚顶瑜伽护摩仪轨,狮子国三藏智藏
大悲心陀罗尼修行念诵略仪,唐三藏沙门大广智不空
妙吉祥平等观门大教王经略出护摩仪,宋中天竺三藏法师慈贤
金刚顶超胜三界经说文殊五字真言胜相,唐三藏沙门大广智不空
金刚顶经瑜伽文殊师利菩萨法一品,唐三藏沙门大广智不空
金刚顶瑜伽经十八会指归,唐三藏沙门大广智不空
诃利帝母真言法,唐三藏沙门大广智不空
大方广佛华严经入法界品四十二字观,唐三藏沙门大广智不空
般若波罗蜜多理趣经大安乐不空三昧真实金刚菩萨等一十七圣大曼荼罗义述,唐三藏阿目佉金刚
陀罗尼门诸部要目,唐三藏沙门大广智不空
金刚顶瑜伽三十七尊礼,唐三藏沙门大广智不空
受菩提心戒仪,唐三藏沙门大广智不空
大圣文殊师利菩萨赞佛法身礼,唐三藏沙门大广智不空
一百五十赞佛颂,唐三藏法师义净
百千颂大集经地藏菩萨请问法身赞,唐三藏沙门大广智不空
佛吉祥德赞,尊者寂友造
阿育王传,西晋安息三藏安法钦
马鸣菩萨传,姚秦三藏法师鸠摩罗什
龙树菩萨传,姚秦三藏法师鸠摩罗什
提婆菩萨传,姚秦三藏法师鸠摩罗什
婆薮槃豆传,陈天竺三藏真谛
龙树菩萨为禅陀迦王说法要偈,刘宋天竺三藏求那跋陀罗
撰集三藏及杂藏传,失译人名今附东晋录
大阿罗汉难提蜜多罗所说法住记,唐三藏法师玄奘
瑜伽集要焰口施食仪(十类孤魂文三归依赞附),唐三藏沙门大广智不空
维摩诘所说经注,姚秦三藏法师鸠摩罗什
晋僧肇法师宝藏论,晋僧肇法师
法显传,东晋沙门法显自记
释迦谱,萧齐释僧佑
经律异相,梁沙门僧旻宝唱等
慈悲道场忏法,无
比丘尼传,晋释宝唱
高僧传,梁沙门慧皎
续高僧传,唐释道宣
宋高僧传,宋沙门释赞宁等
明高僧传,明沙门释如惺识
弘明集,梁释僧佑
广弘明集,唐释道宣
陀罗尼杂集,未详撰者今附梁录
法华经安乐行义,陈南嶽思大禅师
大乘止观法门,陈南嶽思大禅师
法华三昧忏仪,隋释智顗
诸法无诤三昧法门,陈南嶽思大禅师
释摩诃般若波罗密经觉意三昧,隋天台智者大师
净土十疑论,隋天台智者大师
观音义疏,隋天台智者大师
观音义疏记,宋沙门释知礼
法界次第初门,隋天台智者大师
修习止观坐禅法要,隋释智顗
观音玄义,隋天台智者大师
观音玄义记,宋沙门释知礼
四念处,隋天台智者大师
天台四教仪,高丽沙门谛观
天台四教仪集注,南天竺沙门蒙润
妙法莲华经玄义释签四十卷隋天台智者大师,隋天台智者大师
妙法莲华经文句,隋天台智者大师
法华文句记,唐沙门释湛然
摩诃止观,隋天台智者大师
集沙门不应拜俗等事,唐沙门释彦宗
华严经旨归,唐沙门法藏
般若波罗蜜多心经略疏,唐沙门法藏
金刚般若经疏,隋天台智者大师
隋天台智者大师别传,门人灌顶
仁王护国般若经疏,隋天台智者大师
金光明经玄义,隋天台智者大师
金光明经玄义拾遗记,宋沙门释知礼
佛说观无量寿佛经疏,隋天台智者大师
观无量寿佛经疏妙宗钞,宋沙门释知礼
释禅波罗蜜次第法门,隋天台智者大师
观心论疏,隋沙门灌顶
金光明经文句,隋天台智者大师
金光明经文句记,宋沙门释知礼
菩萨戒义疏,隋天台智者大师
历代三宝纪,隋费长房
请观音经疏,隋天台智者大师
四教义,隋释智顗
众经,隋翻经学士及沙门
众经,隋翻经沙门法经
大般涅槃经疏,隋章安顶法师
大般涅槃经玄义,隋沙门灌顶
涅槃玄义发源机要,宋沙门释智圆
辩正论,唐沙门释法琳
华严一乘教义分齐章,唐沙门法藏
华严经明法品内立三宝章,唐沙门法藏
修华严奥旨妄尽还源观,唐沙门法藏
华严金师子章,唐沙门法藏
华严法界玄镜,唐沙门澄观
天台八教大意,隋沙门灌顶
破邪论,唐沙门释法琳
集古今佛道论衡实录,唐沙门道宣
续集古今佛道论衡,唐沙门智升
佛说阿弥陀经疏,唐沙门元晓
大唐内典录,唐沙门道宣
集神州塔寺三宝感通录,唐沙门道宣
大唐西域记,唐三藏法师玄奘
大慈恩寺三藏法师传,唐沙门慧立本等
法苑珠林,唐沙门释道世
诸经要集,唐沙门释道世
显密圆通成佛心要集,沙门道殿
十门辨惑论,唐沙门释复礼
大唐西域求法高僧传,唐三藏法师义净
南海寄归内法传,唐三藏法师义净
开元释教录,唐沙门智升
开元释教录略出,唐沙门智升
甄正论,唐沙门玄疑
说罪要行法,唐三藏法师义净
受用三水要行法,唐三藏法师义净
护命放生轨仪法,唐三藏法师义净
永嘉集,唐沙门玄觉
大方广佛华严经论,唐房山长者李通玄
解密显智成悲十明论,唐房山长者李通玄
六祖大师法宝坛经,门人法海等
止观大意,唐沙门释湛然
始终心要,唐沙门释湛然
法华三昧行事运想补助仪,唐国清沙门湛然
集诸经礼忏悔文,唐沙门智升
十不二门,唐荆溪尊者湛然
十不二门指要钞,宋沙门释知礼
金刚錍,唐沙门释湛然
大方广佛华严经悬谈疏钞会本,唐沙门澄观
华严会本悬谈会玄记（第01卷～第20卷）,比丘普瑞
大方广佛华严经疏钞会本（第01卷～第20卷）,唐沙门澄观
华严普贤行愿品别行疏钞会本,唐沙门澄观等
折疑论,比丘述注
华严原人论解,沙门圆觉
大方广圆觉修多罗了义经略疏,唐沙门宗密
圆觉经略疏之钞,唐沙门宗密
大方广圆觉经大疏,唐沙门宗密
盂兰盆经疏,唐沙门宗密
禅源诸诠集,唐沙门宗密
注华严法界观门,唐沙门宗密
黄檗山断际禅师传心法要,河东裴休
金刚般若经疏论纂要,唐沙门宗密
金刚经纂要刊定记,沙门子璿
慈悲水忏法,失译人名
观自在菩萨如意轮咒课法,宋沙门仁岳
天台智者大师斋忌礼赞文,宋沙门遵式
金光明忏法补助仪,宋沙门遵式
往生净土忏愿仪,宋沙门遵式
往生净土决疑行愿二门,宋沙门遵式
请观世音菩萨消伏毒害陀罗尼三昧仪,宋沙门遵式
金光明最胜忏仪,宋沙门知礼
法智遗编观心二百问,法孙继忠
千手千眼大悲心咒行法,宋沙门知礼
礼法华经仪式,失译人名
修忏要旨,宋沙门知礼
炽盛光道场念诵仪,宋沙门遵式
释迦如来涅槃礼赞文,宋沙门仁岳
景德传灯录,宋沙门道原
明觉禅师语录,参学小师惟蓋竺
禅林宝训,东吴沙门净善
首楞严经义海,唐房融等
传法正宗记,宋沙门释契嵩
传法正宗论,宋沙门释契嵩
万善同归,永明寿禅师
定慧相资歌,智觉禅师
警世,失译人名
永明心赋注,永明寿禅师
密咒圆因往生集,沙门智广
宗镜录,宋禅师延寿
佛果圜悟禅师碧岩集,比丘性湛
佛果圆悟禅师碧岩集,门人绍隆等
辅教编,宋沙门释契嵩
翻译名义集,宋沙门法云
大乘起信论疏,沙门法藏
起信论疏笔削记,沙门子璿
五灯会元（第01卷～第30卷）,宋沙门大川济
护法论,宋居士张商英
佛遗教经论疏节要,姚秦三藏法师鸠摩罗什
天台传佛心印记,元沙门怀则
庐山莲宗宝鉴,僧普度
肇论新疏,释源
大藏圣教法宝标目,元居士王古
妙法莲华经要解,比丘戒环
大佛顶如来密因脩证了义诸菩萨万行首楞严经会解,沙门惟则
慧文正辨佛日普照元叟端禅师语录,沙门法琳
佛日普照楚石禅师语录,比丘祖光
佛祖历代通载,僧华停念
百丈清规,僧德辉僧大訢
辩伪录,元沙门祥迈
大元至元法宝勘同总录,元沙门庆吉祥
楞伽阿跋多罗宝经注解,僧宗泐僧如己
般若波罗蜜多心经注解,僧宗泐僧如己
金刚般若波罗蜜经注解,僧宗泐僧如己
大明仁孝皇后梦感佛说第一希有大功德经,明仁孝徐皇后
大明三藏法数（第01卷～第19卷）,沙门一如
诸佛世尊如来菩萨尊者神僧名经,明成祖
大明太宗文皇帝御制序赞文,明成祖
神僧传,明成祖
缁门警训,元僧永中等
高丽国普照禅师脩心诀,高丽禅师知讷
真心直说,高丽禅师知讷
八识规矩补注,明法师普奉
大乘百法明门论,唐三藏法师玄奘奉诏译增修慈恩法师注解
八十八祖传赞,明释德清
大佛顶首楞严经正脉疏（第01卷～第20卷）,明沙门交光真
佛说阿弥陀经疏钞,明沙门祩宏
紫柏尊者全集,明憨山德清
憨山大师梦游全集（第01卷～第30卷）,侍者福善日门人通炯
性相通说,明释德清
庄子内篇注,明释德清
龙池幻有禅师语录,门人圆悟圆修
雪峤信禅师语录,门人弘歇
天隐修禅师语录,门人通琇
密云悟禅师语录,门人弘觉
大觉普济能仁玉琳琇国师语录,门人行岳
明道正觉　森禅师语录,门人超德等
宏觉禅师语录,门人显权等
佛说梵网经直解,沙门寂光
毗尼止持会,清沙门读体
昙无德部四分律删补随机羯磨,唐沙门道宣等
毗尼关要,清沙门德基
大乘止观法门释要,吴沙门智旭
南岳山茨际禅师语录,门人达尊达谦
相宗八要直解,吴沙门智旭
五百罗汉尊号,素斗光
明觉聪禅师语录,门人寂空
大佛顶首楞严经疏解蒙钞（第01卷～第20卷）,蒙叟钱谦益
长庆宗宝独禅师语录,释重
楞严经势至念佛圆通章疏钞,清沙门续法
观自在菩萨如意心陀罗尼咒经略疏,清沙门续法
药师瑠璃光如来本愿功德经直解,清苾芻灵耀
兜率龟镜集,清沙门释宏赞
七俱胝佛母所说准提陀罗尼经会释,清沙门释宏赞
沩山警策句释记,清沙门释宏赞
佛说四十二章经疏钞,清沙门续法
佛说八大人觉经疏,清沙门灌顶续法
成唯识论音响补遗（第01卷～第20卷）,清音义合响智素
妙法莲华经授手（第01卷～第20卷）,清沙门智祥
贤首五教仪,清沙门续法
重订教乘法数,明沙门圆洁
御选语录（第01卷～第20卷）,清世宗御录
御录宗镜大纲,智贤禅师
御录经海一滴,清世宗御录
