大清三藏圣教,雍正皇帝等制
顺权方便经,西晋三藏法师竺法护
佛说乐璎珞庄严方便经,姚秦罽宾三藏昙摩耶舍
菩萨睒子经,失译人名今附西晋录
佛说睒子经,姚秦三藏法师释圣坚
佛说九色鹿经,吴月支优婆塞支谦
佛说太子沐魄经,西晋三藏法师竺法护
太子慕魄经,后汉安息三藏安世高
无字宝箧经,元魏天竺三藏菩提留支
大乘离文字普光明藏经,唐中天竺沙门地婆诃罗
大乘遍照光明藏无字法门经,唐中天竺沙门地婆诃罗
佛说老女人经,吴月支优婆塞支谦
佛说老母经,失译师名附刘宋录
佛说老母女六英经,刘宋天竺三藏求那跋陀罗
佛说长者子制经,后汉安息三藏安世高
佛说菩萨逝经,西晋沙门白法祖
佛说逝童子经,西晋沙门支法度
佛说月光童子经,西晋三藏法师竺法护
佛说申日儿本经,刘宋天竺三藏求那跋陀罗
佛说德护长者经,隋天竺三藏那连提黎耶舍
佛说犊子经,吴月支优婆塞支谦
佛说乳光佛经,西晋三藏法师竺法护
佛说无垢贤女经,西晋三藏法师竺法护
佛说腹中女听经,北凉天竺三藏昙无谶
佛说转女身经,刘宋罽宾国三藏昙摩蜜多
文殊师利问菩提经,姚秦三藏法师鸠摩罗什
伽耶山顶经,元魏天竺三藏菩提留支
佛说象头精舍经,隋天竺沙门毗尼多流支
大乘伽耶山顶经,唐南天竺三藏菩提流志
佛说决定总持经,西晋三藏法师竺法护
佛说谤佛经,元魏天竺三藏菩提留支
大方等大云经,北凉天竺三藏昙无谶
如来庄严智慧光明入一切佛境界经,元魏三藏法师昙摩流支
深密解脱经,元魏天竺三藏菩提留支
解深密经,唐三藏法师玄奘
佛说谏王经,刘宋居士沮渠京声
如来示教胜军王经,唐三藏法师玄奘
佛为胜光天子说王法经,唐三藏法师义净
宝积三昧文殊师利菩萨问法身经,后汉安息三藏安世高
佛说济诸方等学经,西晋三藏法师竺法护
大乘方广总持经,隋天竺沙门毗尼多流支
太子须大拏经,姚秦三藏法师释圣坚
佛说如来智印经,失译师名附刘宋录
佛说慧印三昧经,吴月支优婆塞支谦
佛说无极宝三昧经,西晋三藏法师竺法护
宝如来三昧经,东晋西域三藏祇多蜜
无上依经,梁天竺三藏真谛
佛说未曾有经,后汉失译师名
佛说甚希有经,唐三藏法师玄奘
佛说如来师子吼经,元魏天竺三藏佛陀扇多
佛说大方广师子吼经,唐中天竺沙门地婆诃罗
佛说大乘百福相经,唐中天竺沙门地婆诃罗
佛说大乘百福庄严相经,唐中天竺沙门地婆诃罗等
